Material,Coating Material,Temperature (°C),Density (g/cm³),Thermal Conductivity (W/m·K),Thermal Expansion (×10⁻⁶/°C),Normal Load (N),Sliding Speed (m/s),COF,Wear Rate (mm³/N·m),Hardness (HV),Lunar Contact
Ti-6Al-4V,DLC (Diamond-Like Carbon),-173,4.43,5,6.7,1,0.001,0.0517,0,2352,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-173,4.43,5,6.7,1,0.001,0.2001,0.00000000059396,2358,No
Ti-6Al-4V,DLC (Diamond-Like Carbon),-173,4.43,5,6.7,1,0.01,0.0512,0,2358,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-173,4.43,5,6.7,1,0.01,0.1872,0.0000000014638,2353,No
Ti-6Al-4V,DLC (Diamond-Like Carbon),-173,4.43,5,6.7,1,0.05,0.0428,0.00000000013307,2351,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-173,4.43,5,6.7,1,0.05,0.1747,0.0000000029671,2347,No
Ti-6Al-4V,DLC (Diamond-Like Carbon),-173,4.43,5,6.7,1,0.1,0.0432,0.00000000022757,2345,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-173,4.43,5,6.7,1,0.1,0.1814,0.0000000033838,2349,No
Ti-6Al-4V,DLC (Diamond-Like Carbon),-173,4.43,5,6.7,1,0.5,0.0448,0.00000000035205,2347,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-173,4.43,5,6.7,1,0.5,0.168,0.0000000071007,2352,No
Ti-6Al-4V,DLC (Diamond-Like Carbon),-173,4.43,5,6.7,1,1,0.0477,0.00000000051109,2347,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-173,4.43,5,6.7,1,1,0.1769,0.0000000086563,2345,No
Ti-6Al-4V,DLC (Diamond-Like Carbon),-173,4.43,5,6.7,5,0.001,0.0455,0.00000000011332,2351,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-173,4.43,5,6.7,5,0.001,0.2032,0.0000000024099,2351,No
Ti-6Al-4V,DLC (Diamond-Like Carbon),-173,4.43,5,6.7,5,0.01,0.047,0.00000000028081,2349,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-173,4.43,5,6.7,5,0.01,0.1812,0.0000000064766,2346,No
Ti-6Al-4V,DLC (Diamond-Like Carbon),-173,4.43,5,6.7,5,0.05,0.0418,0.00000000062201,2352,Yes
Ti-6Al-4V,DLC (Diamond-Like Carbon),-173,4.43,5,6.7,5,0.05,0.1721,0.000000011924,2348,No
